id;uuid;sender_name;attach;content;status;search_field
1;4f8791d7-8b83-4231-959c-0cfdff634b4e;Marketing Integration back;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;98431bb1-a460-4ecc-b6a3-76a609991af4;Specialist Turnpike Run;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;a1960047-3adc-4d62-9cfb-8348a2141b01;deposit Outdoors;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;f2396633-a5c0-4d32-9f51-a3705defe701;HTTP;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;46a8de67-9bd5-49a3-90bb-3fac81b3c568;Steel partnerships;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;54ceb2b8-4148-4694-b11e-a6ae17034a44;context-sensitive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;582d4611-d544-4e01-9a02-cb51121074cd;Trinidad Dynamic out-of-the-box;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;4673a4a2-cf76-4f66-b85f-185f34d3ae53;Steel Delaware;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;3a82f2e2-c391-4e56-ae2c-5abaed00be07;functionalities Movies deposit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;e71b63e7-32c1-4b14-a47a-ea9dbfa7a2c9;secondary PCI;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
