id;uuid;name;quick_info
1;ba40f9e2-d82a-4292-80bc-fdd59ab2bccc;quantifying parse functionalities;../fake-data/blob/hipster.txt
2;e75cdff9-85c2-4ec6-b7f8-f798d17eeecd;Frozen;../fake-data/blob/hipster.txt
3;956eebec-222d-48c5-aca1-7d6e351a2132;Product Michigan Philippines;../fake-data/blob/hipster.txt
4;85be65de-667d-4e4b-99ca-8a95c8904e83;plug-and-play;../fake-data/blob/hipster.txt
5;09f7d15d-83c2-402a-8daa-1730e1dd5de1;user-facing extranet;../fake-data/blob/hipster.txt
6;2a67cac3-4eb1-45b6-8371-7d90ea22c46e;e-enable Clothing;../fake-data/blob/hipster.txt
7;788beccb-9124-47fc-a54e-465df8ae04e1;Loan Tools connecting;../fake-data/blob/hipster.txt
8;1ca119b4-a90a-49bd-83b6-93b72a89ad2d;copy;../fake-data/blob/hipster.txt
9;3fdbcc64-0461-4354-8552-6e46f3cf3274;Checking;../fake-data/blob/hipster.txt
10;2eede3f0-bf7f-499b-a5a3-55076e364c4a;3rd Outdoors;../fake-data/blob/hipster.txt
