id;uuid;version;content
1;82240263-173e-43ea-a86e-7860b4ef8f60;8362;../fake-data/blob/hipster.txt
2;8f4a64dd-37ef-4069-84a6-a9cb47bca636;31335;../fake-data/blob/hipster.txt
3;88f56ecc-2306-42cd-9719-1bf141b94c61;74457;../fake-data/blob/hipster.txt
4;d8d4e8e4-e73d-4656-ae74-baecd44b26ac;75531;../fake-data/blob/hipster.txt
5;9c8a02ff-0a04-4c15-b81c-71cc56f5a0d7;93814;../fake-data/blob/hipster.txt
6;88321e12-07ed-4150-8bde-b3946e87bb17;49258;../fake-data/blob/hipster.txt
7;00197ddb-82fd-491c-a670-b0a78b4af0d8;86153;../fake-data/blob/hipster.txt
8;7f9c9727-3332-4f27-9d55-5522f28ff0c4;14770;../fake-data/blob/hipster.txt
9;37b8e059-2c65-4a84-9407-1d78d9ff9b5b;11091;../fake-data/blob/hipster.txt
10;c9999fdd-d686-43ab-8b76-e0239ae0a96e;9980;../fake-data/blob/hipster.txt
