id;uuid;content
1;ee87ec3e-d3df-41a6-8438-72c7ca04a263;../fake-data/blob/hipster.txt
2;33f10b39-7216-40fd-9389-ba52aba0a9bd;../fake-data/blob/hipster.txt
3;82e7f3ba-7343-45ac-956c-d8ceef650924;../fake-data/blob/hipster.txt
4;37c4b87e-4dbc-4426-9f77-4c743f53539f;../fake-data/blob/hipster.txt
5;692ba13d-6ba6-4724-99bd-28448645ed60;../fake-data/blob/hipster.txt
6;d763a544-dcb8-4894-a212-5ecd90508a98;../fake-data/blob/hipster.txt
7;d2e8008d-d0db-463d-92a5-f09b7d1d2184;../fake-data/blob/hipster.txt
8;e8166bf7-e1bb-401e-9d78-7b6b44e2c4d8;../fake-data/blob/hipster.txt
9;0a5cc84e-c047-4f8a-944f-f7e61901b927;../fake-data/blob/hipster.txt
10;194d1cea-0293-41d8-8ad7-b6befa5e3977;../fake-data/blob/hipster.txt
