id;uuid;title;content
1;c91a6f94-501f-4545-a35d-89c5b62890ac;Money platforms;../fake-data/blob/hipster.txt
2;04f68e45-81cf-4fab-b253-4c70284179cb;orchid Refined Rubber;../fake-data/blob/hipster.txt
3;579dab0b-f54b-4737-bd8a-41aece9ccfc6;composite card silver;../fake-data/blob/hipster.txt
4;3ac81b68-b16a-4969-aaee-724ce0000062;Paraguay bandwidth Tuna;../fake-data/blob/hipster.txt
5;fe3b1122-55ad-4cf8-b26f-2b1224943901;California payment Outdoors;../fake-data/blob/hipster.txt
6;bbdf58de-9a9b-4d62-a215-9210b82506d3;Andorra;../fake-data/blob/hipster.txt
7;6bbc552e-e0c4-4da1-84bc-4a041cd9f3c2;real-time;../fake-data/blob/hipster.txt
8;0399fd31-8791-43ae-8a2e-a75c6189553d;Customer system;../fake-data/blob/hipster.txt
9;9e5967e2-da23-4fc4-bddb-63af96e2801b;Operations;../fake-data/blob/hipster.txt
10;ef7e1cb2-f8b2-42ae-904c-fca0e02afe20;vertical;../fake-data/blob/hipster.txt
