id;uuid;buffer_data;buffer_data_content_type
1;bda911cb-11cf-4c34-9b66-dcfa37aeec7a;../fake-data/blob/hipster.png;image/png
2;af205c7d-b59c-4879-9d61-494ff445864a;../fake-data/blob/hipster.png;image/png
3;7a3e21b8-96fa-429f-9578-10f35a29e9f0;../fake-data/blob/hipster.png;image/png
4;5572444f-8107-4911-aefc-7b2b3e9d8b1c;../fake-data/blob/hipster.png;image/png
5;b1808906-3cbd-472b-a74e-307799747ecc;../fake-data/blob/hipster.png;image/png
6;2ad3b54d-6770-4ded-8288-eab239398d75;../fake-data/blob/hipster.png;image/png
7;1cb0c20b-da45-42b3-a9ee-a31d6f2359da;../fake-data/blob/hipster.png;image/png
8;e3c2fcac-9a88-4789-a3be-7585c2862ce3;../fake-data/blob/hipster.png;image/png
9;0d74d288-f3e4-4df6-833d-a7a25ed99056;../fake-data/blob/hipster.png;image/png
10;7821c26d-b46c-4c32-9fc7-fab0a228ee61;../fake-data/blob/hipster.png;image/png
